date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:33	62253/62253	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202026%2019:19:32%20GMT	https://codeforces.com/problemset/problem/1363/C	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/problemset/problem/1363/C.html	(from )
15:19:34	1681/1681	---MCZ	200	added ('OK')	text/plain	date:Fri,%2003%20Jul%202026%2019:19:33%20GMT	https://codeforces.com/robots.txt		(from )
15:19:35	22208/22208	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:34%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/400/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/400/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
15:19:37	36344/36344	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:35%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/400/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/400/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
15:19:37	30632/30632	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:36%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/400/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/400/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
15:19:38	22764/22764	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:37%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/400/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/400/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
15:19:38	30964/30964	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:38%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/700/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/700/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
15:19:40	51384/51384	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:39%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/700/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/700/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
15:19:41	32640/32640	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:41%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/700/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/700/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
15:19:42	44960/44960	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:40%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/700/normal.woff2	/home/peanut/Downloads/problemset_problem_1363_C/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/700/normal.woff2	(from https://codeforces.com/problemset/problem/1363/C)
