date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:27	838/838	U--MCZ	200	updated ('OK')	text/plain	date:Fri,%2003%20Jul%202026%2002:47:26%20GMT	https://artofproblemsolving.com/robots.txt		(from )
22:47:28	83859/83859	U-----	200	untouched ('OK')	text/html	date:Thu,%2012%20Feb%202026%2019:10:50%20GMT	https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems.html	(from )
22:47:28	6041/6041	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Jul%202026%2002:47:28%20GMT	https://artofproblemsolving.com/wiki/load.php?lang=en&modules=skins.aopsp.css&only=styles&skin=aopsp	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/wiki/load2388.php	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:29	6053/6053	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Jul%202026%2002:47:29%20GMT	https://artofproblemsolving.com/wiki/load.php?lang=en&modules=startup&only=scripts&raw=1&skin=aopsp	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/wiki/loadec6f.php	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:30	5782/5782	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Jul%202026%2002:47:30%20GMT	https://artofproblemsolving.com/wiki/rest.php/v1/search	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/wiki/rest.php/v1/search.4.delayed	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:30	29/29	U-----	200	untouched ('OK')	text/css	etag:W/%22yas28%22	https://artofproblemsolving.com/wiki/load.php?lang=en&modules=site.styles&only=styles&skin=aopsp	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/wiki/load721b.css	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:32	639/639	---MC-	200	added ('OK')	application/rsd+xml	date:Fri,%2003%20Jul%202026%2002:47:31%20GMT	https://artofproblemsolving.com/wiki/api.php?action=rsd	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/wiki/api-result251f.xml	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:32	22329/22329	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jul%202026%2002:47:32%20GMT	https://artofproblemsolving.com/online-favicon.ico?v=2	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/online-favicon.c5e1f.delayed	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:32	39637/39637	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2003%20Jul%202026%2002:47:32%20GMT	https://artofproblemsolving.com/	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/index.html	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:32	660888/660888	U-----	200	untouched ('OK')	text/css	etag:%22664bb900-a1598%22	https://artofproblemsolving.com/assets/fonts/font-awesome/css/all.css	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/assets/fonts/font-awesome/css/all.css	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:32	4801/4801	U-----	200	untouched ('')	image/png	etag:%226494afe6-1f48%22	https://artofproblemsolving.com/apple-touch-icon.png	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/apple-touch-icon.png	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
22:47:33	254/254	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Jul%202026%2002:47:33%20GMT	https://artofproblemsolving.com/school/woot?gtmlist=School_Nav	/home/peanut/Downloads/wiki_index.php_2022_AIME_I_Problems/artofproblemsolving.com/school/woot6bf6	(from https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Problems)
